Customer ID,Recency,Frequency,Monetary,Recency_Score,Frequency_Score,Monetary_Score,RF_Score,Segment
12346.0,164,11,372.86,2,5,2,25,Cant Loose
12347.0,2,2,1323.32,5,2,4,52,Potential Loyalists
12348.0,73,1,222.15999999999997,2,1,1,21,Hibernating
12349.0,42,3,2671.14,3,3,5,33,Need Attention
12351.0,10,1,300.93,5,1,2,51,New Customers
12352.0,10,2,343.8,5,2,2,52,Potential Loyalists
12353.0,43,1,317.76,3,1,2,31,About to Sleep
12355.0,202,1,488.21000000000004,1,1,2,11,Hibernating
12356.0,15,3,3562.25,4,3,5,43,Potential Loyalists
12357.0,23,2,12079.99,4,2,5,42,Potential Loyalists
12358.0,10,3,2719.01,5,3,5,53,Potential Loyalists
12359.0,60,6,2563.36,3,4,5,34,Loyal Customers
12360.0,14,5,1590.83,5,4,4,54,Champions
12361.0,97,3,321.35,2,3,2,23,At Risk
12362.0,373,1,130.0,1,1,1,11,Hibernating
12366.0,268,1,500.24,1,1,2,11,Hibernating
12368.0,263,1,917.7,1,1,3,11,Hibernating
12369.0,48,3,1791.15,3,3,4,33,Need Attention
12370.0,259,3,774.62,1,3,3,13,At Risk
12371.0,44,3,2179.42,3,3,5,33,Need Attention
12373.0,259,2,763.0500000000001,1,2,3,12,Hibernating
12374.0,56,3,2246.29,3,3,5,33,Need Attention
12376.0,24,2,503.15,4,2,2,42,Potential Loyalists
12377.0,16,2,1798.2,4,2,4,42,Potential Loyalists
12378.0,197,1,1407.7,1,1,4,11,Hibernating
12379.0,57,2,767.98,3,2,3,32,About to Sleep
12380.0,100,7,6951.49,2,5,5,25,Cant Loose
12385.0,14,1,1938.4,5,1,4,51,New Customers
12386.0,1,1,258.9,5,1,2,51,New Customers
12387.0,50,1,143.94,3,1,1,31,About to Sleep
12388.0,80,2,1120.45,2,2,4,22,Hibernating
12389.0,37,3,1433.33,3,3,4,33,Need Attention
12391.0,99,5,2312.53,2,4,5,24,At Risk
12392.0,226,1,234.75000000000003,1,1,1,11,Hibernating
12393.0,17,2,816.85,4,2,3,42,Potential Loyalists
12395.0,6,4,2048.64,5,4,4,54,Champions
12396.0,309,1,931.43,1,1,3,11,Hibernating
12399.0,20,3,853.65,4,3,3,43,Potential Loyalists
12400.0,49,1,205.25,3,1,1,31,About to Sleep
12402.0,27,5,1031.3,4,4,4,44,Loyal Customers
12403.0,156,1,591.6600000000001,2,1,3,21,Hibernating
12404.0,317,1,63.24,1,1,1,11,Hibernating
12406.0,34,3,2975.06,4,3,5,43,Potential Loyalists
12408.0,20,3,1452.22,4,3,4,43,Potential Loyalists
12409.0,55,4,12346.62,3,4,5,34,Loyal Customers
12410.0,137,1,320.38,2,1,2,21,Hibernating
12411.0,44,1,346.9,3,1,2,31,About to Sleep
12412.0,37,3,1370.05,3,3,4,33,Need Attention
12413.0,37,1,241.35,3,1,1,31,About to Sleep
12414.0,98,3,390.0,2,3,2,23,At Risk
12415.0,10,7,19543.84,5,5,5,55,Champions
12416.0,291,1,202.56,1,1,1,11,Hibernating
12417.0,45,11,3167.81,3,5,5,35,Loyal Customers
12418.0,48,3,1352.62,3,3,4,33,Need Attention
12419.0,20,2,503.01,4,2,2,42,Potential Loyalists
12421.0,50,2,291.56,3,2,2,32,About to Sleep
12422.0,29,14,4428.24,4,5,5,45,Loyal Customers
12423.0,22,2,763.08,4,2,3,42,Potential Loyalists
12424.0,57,2,1579.07,3,2,4,32,About to Sleep
12425.0,83,1,964.21,2,1,3,21,Hibernating
12426.0,297,1,762.48,1,1,3,11,Hibernating
12427.0,6,1,303.5,5,1,2,51,New Customers
12429.0,0,5,3735.51,5,4,5,54,Champions
12431.0,8,13,4370.52,5,5,5,55,Champions
12433.0,1,5,7205.39,5,4,5,54,Champions
12434.0,16,1,297.29,4,1,2,41,Promising
12435.0,31,4,6096.04,4,4,5,44,Loyal Customers
12437.0,30,21,7731.99,4,5,5,45,Loyal Customers
12439.0,317,2,1158.18,1,2,4,12,Hibernating
12440.0,97,2,859.2,2,2,3,22,Hibernating
12441.0,1,1,173.55,5,1,1,51,New Customers
12443.0,367,1,485.31,1,1,2,11,Hibernating
12445.0,55,1,301.58000000000004,3,1,2,31,About to Sleep
12449.0,45,2,768.6,3,2,3,32,About to Sleep
12450.0,34,3,490.32,4,3,2,43,Potential Loyalists
12451.0,98,3,3634.36,2,3,5,23,At Risk
12454.0,30,4,13151.44,4,4,5,44,Loyal Customers
12455.0,80,4,3413.09,2,4,5,24,At Risk
12457.0,70,1,632.68,3,1,3,31,About to Sleep
12458.0,62,2,830.09,3,2,3,32,About to Sleep
12459.0,240,1,454.36,1,1,2,11,Hibernating
12460.0,91,1,326.65,2,1,2,21,Hibernating
12466.0,317,1,56.73,1,1,1,11,Hibernating
12467.0,58,1,132.8,3,1,1,31,About to Sleep
12468.0,161,3,2941.2,2,3,5,23,At Risk
12469.0,157,2,3070.54,2,2,5,22,Hibernating
12470.0,324,1,211.95,1,1,1,11,Hibernating
12471.0,9,49,20139.74,5,5,5,55,Champions
12472.0,4,13,11308.48,5,5,5,55,Champions
12474.0,13,13,5048.66,5,5,5,55,Champions
12475.0,44,1,426.26,3,1,2,31,About to Sleep
12476.0,31,12,7298.99,4,5,5,45,Loyal Customers
12477.0,34,3,7056.63,4,3,5,43,Potential Loyalists
12480.0,34,3,2183.2200000000003,4,3,5,43,Potential Loyalists
12481.0,0,6,6765.07,5,4,5,54,Champions
12482.0,211,29,23691.4,1,5,5,15,Cant Loose
12483.0,13,11,2635.6,5,5,5,55,Champions
12484.0,118,6,1828.43,2,4,4,24,At Risk
12485.0,164,1,708.1,2,1,3,21,Hibernating
12486.0,66,1,1037.28,3,1,4,31,About to Sleep
12487.0,365,1,285.3,1,1,2,11,Hibernating
12490.0,13,11,4405.71,5,5,5,55,Champions
12492.0,38,1,452.0,3,1,2,31,About to Sleep
12494.0,0,3,626.77,5,3,3,53,Potential Loyalists
12495.0,275,1,357.4,1,1,2,11,Hibernating
12496.0,255,2,54.09,1,2,1,12,Hibernating
12497.0,35,2,5205.400000000001,4,2,5,42,Potential Loyalists
12499.0,195,1,393.71999999999997,1,1,2,11,Hibernating
12500.0,70,8,1697.39,3,5,4,35,Loyal Customers
12503.0,219,1,1126.0,1,1,4,11,Hibernating
12504.0,52,2,297.0,3,2,2,32,About to Sleep
12505.0,43,1,955.2,3,1,3,31,About to Sleep
12507.0,219,1,539.25,1,1,3,11,Hibernating
